post_id,post_date,is_published,email_sent_at,inbox_sent_at,type,audience,title,subtitle,podcast_url
173481502.long-live-black-and-white,2025-09-13T00:48:06.948Z,true,2025-09-13T00:48:07.108Z,2025-09-13T00:48:07.108Z,newsletter,everyone,Long Live Black and White,"A journey through grain, light, and the timeless language of monochrome",
173034349.riding-the-power-of-the-yashica-mat,2025-09-07T18:57:45.373Z,true,2025-09-07T18:57:45.546Z,2025-09-07T18:57:45.546Z,newsletter,everyone,Riding the Power of the Yashica MAT LM,"Medium-format horsepower, three rolls, and a viewfinder that conquers everything.",
168813052.why-i-still-shoot-film,2025-07-20T22:59:25.476Z,true,2025-07-20T22:59:25.564Z,2025-07-20T22:59:25.564Z,newsletter,everyone,Why I Still Shoot Film,A quiet rebellion against disposable everything.,
167318232.first-impressions-canon-selphy-cp,2025-07-02T01:59:39.060Z,true,2025-07-02T01:59:39.155Z,2025-07-02T01:59:39.155Z,newsletter,everyone,First Impressions: Canon Selphy CP 1500,The little printer you didn't know you needed,
166297000.orwo-wolfen-p400-first-impressions,2025-06-19T04:26:46.262Z,true,2025-06-19T04:26:46.447Z,2025-06-19T04:26:46.447Z,newsletter,everyone,ORWO Wolfen P400: First Impressions,A little-known German film with plenty of character and a raw street vibe,
165149609.ruins-in-the-city-a-film-walk-through,2025-06-04T04:59:30.719Z,true,2025-06-04T04:59:30.821Z,2025-06-04T04:59:30.821Z,newsletter,everyone,Ruins in the City: A Film Walk Through Cuicuilco,"Walking ancient paths with a classic rangefinder and some Fuji 400, because why not?",
164530038.photowalk-how-a-roll-from-2008-took,2025-05-27T03:16:51.137Z,true,2025-05-27T03:16:51.233Z,2025-05-27T03:16:51.233Z,newsletter,everyone,"Photowalk: ""How a Roll from 2008 Took Me Back to Tlalpan""","Analog warmth, expired film, and the quiet beauty of the city's south",
163976053.my-unexpected-leap-into-medium-format,2025-05-20T04:02:02.444Z,true,2025-05-20T04:02:02.513Z,2025-05-20T04:02:02.513Z,newsletter,everyone,My Unexpected Leap into Medium Format: The Agfa Billy I Story,Why I chose a budget-friendly Agfa Billy I and what it means for my photography adventures.,
163574512.does-having-a-style-really-matters,2025-05-17T05:42:40.118Z,true,2025-05-17T05:42:40.223Z,2025-05-17T05:42:40.223Z,newsletter,everyone,Does having a style really matters?,I share my experience on finding my photography style.,
162668258.inspired-by-daido-moriyama-my-adventure,2025-05-02T04:56:25.250Z,true,2025-05-02T04:56:25.321Z,2025-05-02T04:56:25.321Z,newsletter,everyone,"Inspired by Daidō Moriyama: My Adventure into Dark, Contrasty Street Photography",How I tried to emulate Daidō Moriyama’s bold techniques and what I discovered.,
162664803.owning-a-leica-iiif-my-story-and,2025-05-02T03:31:12.000Z,true,2025-05-02T03:31:12.077Z,2025-05-02T03:31:12.077Z,newsletter,everyone,Owning a Leica IIIF: My Story and Why You Should Consider It Too,Sharing my experience purchasing a Leica IIIF and essential tips for anyone considering making the leap.,
162379161.why-i-ditched-cinestill-monobath,2025-04-29T02:38:24.672Z,true,2025-04-29T02:38:24.806Z,2025-04-29T02:38:24.806Z,newsletter,everyone,Why I Ditched Cinestill Monobath for Ilford's Ilfosol 3,My Personal Experience Transitioning to a More Reliable Developer,
161437705.003,2025-04-16T06:16:18.636Z,true,2025-04-16T06:16:19.076Z,2025-04-16T06:16:19.076Z,newsletter,everyone,From Fear to Freedom: My Experience with DIY Film Dev & Scan,How I Conquered the Challenges of Developing and Scanning My Own Photos,
159792121.gear-upgrades-revitalizing-my-analog,2025-03-25T01:22:56.850Z,true,2025-03-25T01:22:56.934Z,2025-03-25T01:22:56.934Z,newsletter,everyone,Gear Upgrades: Revitalizing My Analog Photography Journey,Discover the new cameras and lenses that reignited my passion for film photography,
159312007.analog-awakening-my-journey-through,2025-03-20T02:40:51.048Z,true,2025-03-20T02:40:51.177Z,2025-03-20T02:40:51.177Z,newsletter,everyone,Analog Awakening: My Journey Through the World of Film Photography,"From broken cameras to nostalgic frames, uncover the story that brought me back to film.",
